sparm->C: 0.100000
Reading training examples...feature dimension: 69
total utterence:10 done
Iter 1: *(NumConst=1, SV=1, CEps=320.1000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=370.4675, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=656.8793, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=4, CEps=710.4336, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=4, CEps=654.8181, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=5, CEps=594.9752, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=6, CEps=582.4812, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=676.4139, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=713.3574, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=8, CEps=675.0192, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=9, CEps=590.2551, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=10, CEps=563.4181, QPEps=0.0000)
Iter 13: *(NumConst=13, SV=11, CEps=547.9152, QPEps=1.0700)
Iter 14: *(NumConst=14, SV=12, CEps=521.2650, QPEps=25.2965)
Iter 15: *(NumConst=15, SV=12, CEps=485.8586, QPEps=14.7472)
Iter 16: *(NumConst=16, SV=13, CEps=358.1386, QPEps=47.8145)
Iter 17: *(NumConst=17, SV=14, CEps=327.7057, QPEps=33.9052)
Iter 18: *(NumConst=18, SV=15, CEps=358.3266, QPEps=34.3117)
Iter 19: *(NumConst=19, SV=15, CEps=284.8314, QPEps=29.4400)
Iter 20: *(NumConst=20, SV=14, CEps=266.5244, QPEps=32.8825)
Iter 21: *(NumConst=21, SV=15, CEps=211.6622, QPEps=48.0446)
Iter 22: *(NumConst=22, SV=16, CEps=229.8791, QPEps=27.9620)
Iter 23: *(NumConst=23, SV=17, CEps=221.8599, QPEps=41.6329)
Iter 24: *(NumConst=24, SV=18, CEps=218.4568, QPEps=47.0871)
Iter 25: *(NumConst=25, SV=19, CEps=208.0707, QPEps=34.3676)
Iter 26: *(NumConst=26, SV=20, CEps=181.5781, QPEps=48.6752)
Iter 27: *(NumConst=27, SV=20, CEps=145.7616, QPEps=43.3808)
Iter 28: *(NumConst=28, SV=21, CEps=151.6119, QPEps=38.2863)
Iter 29: *(NumConst=29, SV=21, CEps=134.6555, QPEps=49.2680)
Iter 30: *(NumConst=30, SV=19, CEps=125.1750, QPEps=49.4995)
Iter 31: *(NumConst=31, SV=20, CEps=109.0781, QPEps=40.6057)
Iter 32: *(NumConst=32, SV=21, CEps=110.3305, QPEps=42.1121)
Iter 33: *(NumConst=33, SV=22, CEps=101.1107, QPEps=44.4366)
Iter 34: *(NumConst=34, SV=23, CEps=96.4419, QPEps=45.5109)
Iter 35: *(NumConst=35, SV=23, CEps=81.8838, QPEps=38.1786)
Iter 36: *(NumConst=36, SV=24, CEps=81.7229, QPEps=35.7819)
Iter 37: *(NumConst=37, SV=25, CEps=88.0491, QPEps=37.9420)
Iter 38: *(NumConst=38, SV=26, CEps=82.7247, QPEps=37.4807)
Iter 39: *(NumConst=39, SV=27, CEps=89.2973, QPEps=37.5676)
Iter 40: *(NumConst=40, SV=27, CEps=88.2264, QPEps=39.4031)
Iter 41: *(NumConst=41, SV=28, CEps=69.5655, QPEps=29.1043)
Iter 42: *(NumConst=42, SV=28, CEps=69.7086, QPEps=27.0195)
Iter 43: *(NumConst=43, SV=29, CEps=67.8210, QPEps=30.1437)
Iter 44: *(NumConst=44, SV=29, CEps=68.5647, QPEps=30.8504)
Iter 45: *(NumConst=45, SV=29, CEps=57.6733, QPEps=27.9273)
Iter 46: *(NumConst=46, SV=28, CEps=52.7527, QPEps=20.4686)
Iter 47: *(NumConst=47, SV=29, CEps=69.1324, QPEps=21.5455)
Iter 48: *(NumConst=48, SV=29, CEps=50.4760, QPEps=24.8261)
Iter 49: *(NumConst=49, SV=29, CEps=48.2778, QPEps=21.6307)
Iter 50: *(NumConst=50, SV=30, CEps=62.2856, QPEps=21.2397)
Iter 51: *(NumConst=51, SV=31, CEps=53.6196, QPEps=23.0832)
Iter 52: *(NumConst=52, SV=31, CEps=58.9348, QPEps=23.6860)
Iter 53: *(NumConst=53, SV=31, CEps=52.8539, QPEps=23.7052)
Iter 54: *(NumConst=53, SV=32, CEps=51.8173, QPEps=22.5203)
Iter 55: *(NumConst=54, SV=33, CEps=43.7299, QPEps=15.2322)
Iter 56: *(NumConst=55, SV=32, CEps=37.3690, QPEps=13.8123)
Iter 57: *(NumConst=56, SV=33, CEps=35.8406, QPEps=15.4778)
Iter 58: *(NumConst=57, SV=32, CEps=40.5621, QPEps=16.5610)
Iter 59: *(NumConst=57, SV=32, CEps=38.6042, QPEps=15.5350)
Iter 60: *(NumConst=58, SV=32, CEps=28.9251, QPEps=11.6167)
Iter 61: *(NumConst=59, SV=33, CEps=33.4790, QPEps=13.9285)
Iter 62: *(NumConst=60, SV=32, CEps=29.6339, QPEps=12.8937)
Iter 63: *(NumConst=61, SV=33, CEps=40.9854, QPEps=11.0746)
Iter 64: *(NumConst=61, SV=34, CEps=28.9267, QPEps=13.9547)
Iter 65: *(NumConst=62, SV=34, CEps=24.9443, QPEps=11.7704)
Iter 66: *(NumConst=63, SV=35, CEps=31.4870, QPEps=12.4241)
Iter 67: *(NumConst=64, SV=34, CEps=29.8100, QPEps=10.3558)
Iter 68: *(NumConst=64, SV=35, CEps=27.0623, QPEps=11.1117)
Iter 69: *(NumConst=63, SV=36, CEps=27.0574, QPEps=11.2663)
Iter 70: *(NumConst=64, SV=34, CEps=31.5858, QPEps=8.6041)
Iter 71: *(NumConst=65, SV=35, CEps=25.9136, QPEps=9.4830)
Iter 72: *(NumConst=66, SV=34, CEps=26.6608, QPEps=12.0287)
Iter 73: *(NumConst=67, SV=35, CEps=25.4328, QPEps=11.6309)
Iter 74: *(NumConst=68, SV=36, CEps=24.5849, QPEps=11.7468)
Iter 75: *(NumConst=69, SV=36, CEps=22.2288, QPEps=9.9544)
